id_compra,data,horario,ano,mes,dia_semana,categoria,preco_unitario,quantidade,frete,valor_total,metodo_pagamento,id_cliente,cidade,uf,regiao,idade,sexo_biologico,cashback,avaliacao_compra
29,2023-01-05,23:59,2023,1,Thursday,Casa E Limpeza,173.0,3,46.71,565.71,Cartão de Crédito,2134,Recife,Pernambuco,Nordeste,39,Masculino,1,9
28,2023-01-05,14:10,2023,1,Thursday,Alimentos E Bebidas,56.9,5,0.0,284.5,Cartão de Crédito,1955,Ribeirão Preto,São Paulo,Sudeste,51,Masculino,0,10
25,2023-01-05,17:42,2023,1,Thursday,Casa E Limpeza,24.9,4,0.0,99.6,Cartão de Crédito,2411,Carapicuíba,São Paulo,Sudeste,45,Masculino,0,7
21,2023-01-05,00:58,2023,1,Thursday,Ferramentas E Construção,143.9,3,0.0,431.70000000000005,Cartão de Crédito,6284,Guarujá,São Paulo,Sudeste,40,Feminino,0,7
24,2023-01-05,17:12,2023,1,Thursday,Casa E Limpeza,5.9,1,0.53,6.430000000000001,Cartão de Crédito,9153,João Pessoa,Paraíba,Nordeste,34,Masculino,0,9
23,2023-01-05,23:49,2023,1,Thursday,Eletrônicos,6943.9,4,1944.29,29719.89,PIX,6192,Fortaleza,Ceará,Nordeste,36,Masculino,0,7
30,2023-01-05,21:29,2023,1,Thursday,Livros,21.9,1,1.1,23.0,PIX,2269,Recife,Pernambuco,Nordeste,43,Masculino,0,1
36,2023-01-06,17:49,2023,1,Friday,Eletrodomésticos,740.9,4,0.0,2963.6,Cartão de Crédito,4977,Santos,São Paulo,Sudeste,33,Feminino,1,9
31,2023-01-06,16:47,2023,1,Friday,Beleza E Cuidados Pessoais,67.9,1,3.4,71.30000000000001,PIX,5768,Fortaleza,Ceará,Nordeste,35,Masculino,1,9
34,2023-01-06,23:48,2023,1,Friday,Alimentos E Bebidas,62.9,3,5.66,194.35999999999999,Cartão de Crédito,8471,Montes Claros,Minas Gerais,Sudeste,35,Masculino,1,9
32,2023-01-06,23:31,2023,1,Friday,Alimentos E Bebidas,13.9,4,4.45,60.050000000000004,PIX,3966,Brasília,Distrito Federal,Centro-Oeste,34,Feminino,1,9
35,2023-01-06,21:40,2023,1,Friday,Alimentos E Bebidas,41.9,3,0.0,125.69999999999999,Cartão de Débito,9430,São José Do Rio Preto,São Paulo,Sudeste,18,Masculino,1,9
39,2023-01-06,15:21,2023,1,Friday,Livros,48.9,1,0.0,48.9,PIX,8319,Santo André,São Paulo,Sudeste,39,Feminino,1,7
38,2023-01-06,23:36,2023,1,Friday,Alimentos E Bebidas,62.9,2,5.03,130.82999999999998,PIX,9012,Joinville,Santa Catarina,Sul,45,Feminino,0,9
33,2023-01-06,18:12,2023,1,Friday,Casa E Limpeza,164.9,3,9.89,504.59000000000003,Cartão de Crédito,4240,Belo Horizonte,Minas Gerais,Sudeste,32,Feminino,1,10
37,2023-01-06,00:31,2023,1,Friday,Eletrodomésticos,1754.0,3,0.0,5262.0,Cartão de Crédito,7956,Campinas,São Paulo,Sudeste,28,Masculino,0,9
42,2023-01-07,16:22,2023,1,Saturday,Beleza E Cuidados Pessoais,174.9,3,5.25,529.95,PIX,1777,São João De Meriti,Rio De Janeiro,Sudeste,46,Masculino,0,9
47,2023-01-07,23:46,2023,1,Saturday,Alimentos E Bebidas,47.9,1,1.44,49.339999999999996,PIX,7178,Vitória,Espírito Santo,Sudeste,43,Feminino,0,10
46,2023-01-07,21:27,2023,1,Saturday,Ferramentas E Construção,135.0,2,0.0,270.0,Cartão de Crédito,7791,São Paulo,São Paulo,Sudeste,51,Feminino,0,10
40,2023-01-07,17:11,2023,1,Saturday,Papelaria E Escritório,7.0,2,0.7,14.7,PIX,2407,Campos Dos Goytacazes,Rio De Janeiro,Sudeste,46,Feminino,0,7
49,2023-01-07,21:17,2023,1,Saturday,Ferramentas E Construção,299.9,3,0.0,899.6999999999999,Cartão de Crédito,1327,São Paulo,São Paulo,Sudeste,43,Masculino,0,10
50,2023-01-07,20:28,2023,1,Saturday,Alimentos E Bebidas,45.9,3,11.02,148.72,PIX,2865,Natal,Rio Grande Do Norte,Nordeste,50,Masculino,0,8
45,2023-01-07,20:10,2023,1,Saturday,Ferramentas E Construção,264.9,5,79.47,1403.97,Cartão de Crédito,9202,João Pessoa,Paraíba,Nordeste,47,Feminino,0,9
41,2023-01-07,18:47,2023,1,Saturday,Beleza E Cuidados Pessoais,191.9,4,53.73,821.33,PIX,8968,Teresina,Piauí,Nordeste,39,Feminino,1,9
48,2023-01-07,16:53,2023,1,Saturday,Alimentos E Bebidas,31.9,1,1.91,33.809999999999995,Cartão de Crédito,7021,Florianópolis,Santa Catarina,Sul,32,Masculino,0,8
43,2023-01-07,22:29,2023,1,Saturday,Alimentos E Bebidas,95.9,3,8.63,296.33000000000004,PIX,6087,Porto Alegre,Rio Grande Do Sul,Sul,32,Masculino,0,8
44,2023-01-07,23:08,2023,1,Saturday,Beleza E Cuidados Pessoais,131.9,5,46.17,705.67,Cartão de Débito,8747,Natal,Rio Grande Do Norte,Nordeste,22,Feminino,1,1
52,2023-01-08,15:59,2023,1,Sunday,Eletrônicos,6130.9,3,919.63,19312.329999999998,Cartão de Crédito,2812,Campina Grande,Paraíba,Nordeste,50,Feminino,0,8
51,2023-01-08,22:54,2023,1,Sunday,Papelaria E Escritório,9.0,5,2.25,47.25,Cartão de Crédito,4402,Cuiabá,Mato Grosso,Centro-Oeste,28,Feminino,1,8
53,2023-01-08,00:08,2023,1,Sunday,Papelaria E Escritório,48.9,2,4.89,102.69,PIX,8056,Uberaba,Minas Gerais,Sudeste,44,Masculino,0,9
57,2023-01-08,17:25,2023,1,Sunday,Alimentos E Bebidas,58.9,5,23.56,318.06,PIX,3701,Salvador,Bahia,Nordeste,37,Masculino,1,10
58,2023-01-08,21:29,2023,1,Sunday,Alimentos E Bebidas,45.9,5,11.48,240.98,PIX,3381,Salvador,Bahia,Nordeste,39,Feminino,1,10
55,2023-01-08,00:07,2023,1,Sunday,Eletrodomésticos,238.9,1,19.11,258.01,PIX,2648,Aparecida De Goiânia,Goiás,Centro-Oeste,37,Masculino,1,9
54,2023-01-08,23:32,2023,1,Sunday,Beleza E Cuidados Pessoais,220.0,5,55.0,1155.0,Cartão de Crédito,9390,João Pessoa,Paraíba,Nordeste,47,Feminino,0,9
56,2023-01-08,18:50,2023,1,Sunday,Eletrônicos,6256.9,1,625.69,6882.59,PIX,6666,Palmas,Tocantins,Norte,32,Feminino,1,8
64,2023-01-10,23:26,2023,1,Tuesday,Alimentos E Bebidas,68.9,1,4.82,73.72,PIX,6664,Fortaleza,Ceará,Nordeste,35,Feminino,0,2
66,2023-01-10,23:21,2023,1,Tuesday,Beleza E Cuidados Pessoais,155.9,1,7.8,163.70000000000002,PIX,6696,Belford Roxo,Rio De Janeiro,Sudeste,49,Masculino,0,10
62,2023-01-10,20:10,2023,1,Tuesday,Beleza E Cuidados Pessoais,203.9,3,12.23,623.9300000000001,PIX,2147,Belo Horizonte,Minas Gerais,Sudeste,48,Masculino,0,8
67,2023-01-10,20:31,2023,1,Tuesday,Papelaria E Escritório,6.9,3,0.83,21.53,Cartão de Crédito,6754,Serra,Espírito Santo,Sudeste,40,Masculino,1,8
59,2023-01-10,16:18,2023,1,Tuesday,Alimentos E Bebidas,99.9,4,15.98,415.58000000000004,PIX,6202,Porto Alegre,Rio Grande Do Sul,Sul,51,Feminino,0,10
65,2023-01-10,20:42,2023,1,Tuesday,Alimentos E Bebidas,27.9,4,3.35,114.94999999999999,PIX,6081,Rio De Janeiro,Rio De Janeiro,Sudeste,46,Feminino,0,7
60,2023-01-10,18:15,2023,1,Tuesday,Papelaria E Escritório,13.9,1,0.83,14.73,PIX,2699,Salvador,Bahia,Nordeste,33,Feminino,0,8
69,2023-01-10,18:29,2023,1,Tuesday,Casa E Limpeza,73.9,5,25.86,395.36,PIX,4849,Brasília,Distrito Federal,Centro-Oeste,41,Feminino,0,9
63,2023-01-10,20:02,2023,1,Tuesday,Beleza E Cuidados Pessoais,124.9,1,11.24,136.14000000000001,Cartão de Débito,8537,Natal,Rio Grande Do Norte,Nordeste,22,Masculino,1,9
70,2023-01-10,23:11,2023,1,Tuesday,Casa E Limpeza,168.9,2,10.13,347.93,Cartão de Crédito,4462,Belo Horizonte,Minas Gerais,Sudeste,39,Feminino,1,10
61,2023-01-10,17:30,2023,1,Tuesday,Beleza E Cuidados Pessoais,103.9,3,18.7,330.40000000000003,Cartão de Crédito,4061,Joinville,Santa Catarina,Sul,41,Masculino,0,7
68,2023-01-10,19:17,2023,1,Tuesday,Alimentos E Bebidas,97.9,4,0.0,391.6,PIX,1708,São Paulo,São Paulo,Sudeste,33,Masculino,1,9
76,2023-01-11,14:05,2023,1,Wednesday,Beleza E Cuidados Pessoais,231.9,4,46.38,973.98,Cartão de Débito,9088,Caruaru,Pernambuco,Nordeste,27,Feminino,0,3
77,2023-01-11,16:05,2023,1,Wednesday,Beleza E Cuidados Pessoais,197.9,4,55.41,847.01,Cartão de Crédito,9494,João Pessoa,Paraíba,Nordeste,38,Feminino,0,10
78,2023-01-11,15:01,2023,1,Wednesday,Casa E Limpeza,160.9,5,80.45,884.95,PIX,6970,Fortaleza,Ceará,Nordeste,38,Masculino,1,2
74,2023-01-11,15:55,2023,1,Wednesday,Papelaria E Escritório,38.9,1,3.11,42.01,PIX,9552,João Pessoa,Paraíba,Nordeste,47,Masculino,0,10
79,2023-01-11,00:46,2023,1,Wednesday,Casa E Limpeza,52.9,4,16.93,228.53,PIX,2768,Salvador,Bahia,Nordeste,32,Masculino,1,9
73,2023-01-11,22:39,2023,1,Wednesday,Papelaria E Escritório,33.9,3,10.17,111.86999999999999,PIX,3575,João Pessoa,Paraíba,Nordeste,35,Feminino,0,9
72,2023-01-11,14:53,2023,1,Wednesday,Beleza E Cuidados Pessoais,179.9,5,53.97,953.47,Cartão de Crédito,1374,Paulista,Pernambuco,Nordeste,25,Feminino,1,9
75,2023-01-11,23:13,2023,1,Wednesday,Casa E Limpeza,148.9,1,8.93,157.83,Cartão de Crédito,2146,Recife,Pernambuco,Nordeste,41,Feminino,0,9
71,2023-01-11,23:23,2023,1,Wednesday,Beleza E Cuidados Pessoais,114.9,2,2.3,232.10000000000002,PIX,3982,Belo Horizonte,Minas Gerais,Sudeste,42,Feminino,0,9
88,2023-01-12,17:37,2023,1,Thursday,Beleza E Cuidados Pessoais,97.9,1,9.79,107.69,Cartão de Crédito,9221,Santarém,Pará,Norte,47,Feminino,0,7
82,2023-01-12,15:30,2023,1,Thursday,Ferramentas E Construção,102.9,5,30.87,545.37,PIX,3498,Aracaju,Sergipe,Nordeste,46,Masculino,0,8
83,2023-01-12,23:31,2023,1,Thursday,Papelaria E Escritório,30.9,2,6.18,67.97999999999999,PIX,8576,Natal,Rio Grande Do Norte,Nordeste,34,Feminino,1,10
89,2023-01-12,18:05,2023,1,Thursday,Casa E Limpeza,17.9,3,0.54,54.239999999999995,Cartão de Débito,3242,Duque De Caxias,Rio De Janeiro,Sudeste,27,Feminino,1,9
85,2023-01-12,19:23,2023,1,Thursday,Alimentos E Bebidas,62.9,1,3.14,66.03999999999999,Cartão de Crédito,5974,Cariacica,Espírito Santo,Sudeste,33,Feminino,1,8
90,2023-01-12,18:40,2023,1,Thursday,Casa E Limpeza,168.9,5,0.0,844.5,PIX,1772,São Paulo,São Paulo,Sudeste,50,Feminino,0,9
80,2023-01-12,14:53,2023,1,Thursday,Beleza E Cuidados Pessoais,202.9,2,28.41,434.21000000000004,PIX,7139,São Luís,Maranhão,Nordeste,48,Feminino,0,10
87,2023-01-12,00:43,2023,1,Thursday,Alimentos E Bebidas,75.9,1,0.0,75.9,Boleto,1059,São Paulo,São Paulo,Sudeste,57,Masculino,0,9
81,2023-01-12,17:01,2023,1,Thursday,Alimentos E Bebidas,68.9,4,0.0,275.6,PIX,1094,São Paulo,São Paulo,Sudeste,39,Masculino,0,9
84,2023-01-12,23:50,2023,1,Thursday,Alimentos E Bebidas,78.9,2,7.89,165.69,PIX,9588,Recife,Pernambuco,Nordeste,40,Feminino,0,10
86,2023-01-12,00:45,2023,1,Thursday,Beleza E Cuidados Pessoais,164.9,1,0.0,164.9,Boleto,4948,Carapicuíba,São Paulo,Sudeste,55,Feminino,0,9
97,2023-01-13,23:53,2023,1,Friday,Alimentos E Bebidas,54.9,3,4.94,169.64,PIX,8432,Caxias Do Sul,Rio Grande Do Sul,Sul,35,Masculino,1,0
93,2023-01-13,21:25,2023,1,Friday,Eletrônicos,5873.9,1,234.96,6108.86,Cartão de Crédito,3952,Belo Horizonte,Minas Gerais,Sudeste,31,Masculino,1,10
99,2023-01-13,00:48,2023,1,Friday,Beleza E Cuidados Pessoais,214.9,1,6.45,221.35,PIX,5238,Rio De Janeiro,Rio De Janeiro,Sudeste,45,Feminino,0,9
94,2023-01-13,18:24,2023,1,Friday,Beleza E Cuidados Pessoais,114.9,1,3.45,118.35000000000001,Cartão de Crédito,4153,Belo Horizonte,Minas Gerais,Sudeste,38,Feminino,0,10
98,2023-01-13,23:21,2023,1,Friday,Ferramentas E Construção,87.9,4,17.58,369.18,Cartão de Crédito,1885,Brasília,Distrito Federal,Centro-Oeste,52,Feminino,0,9
96,2023-01-13,22:26,2023,1,Friday,Alimentos E Bebidas,48.9,3,14.67,161.36999999999998,Cartão de Crédito,2686,Salvador,Bahia,Nordeste,34,Masculino,1,9
92,2023-01-13,21:28,2023,1,Friday,Ferramentas E Construção,52.9,2,9.52,115.32,Cartão de Débito,3320,Salvador,Bahia,Nordeste,24,Feminino,1,8
91,2023-01-13,14:08,2023,1,Friday,Casa E Limpeza,150.9,1,7.55,158.45000000000002,PIX,7183,Porto Alegre,Rio Grande Do Sul,Sul,36,Masculino,1,9
95,2023-01-13,21:11,2023,1,Friday,Beleza E Cuidados Pessoais,240.9,3,36.14,758.84,Cartão de Crédito,3183,Cascavel,Paraná,Sul,51,Masculino,0,8
106,2023-01-14,19:05,2023,1,Saturday,Alimentos E Bebidas,92.0,4,25.76,393.76,PIX,9154,Fortaleza,Ceará,Nordeste,39,Feminino,1,9
107,2023-01-14,16:21,2023,1,Saturday,Papelaria E Escritório,49.9,4,5.99,205.59,Cartão de Crédito,7553,Porto Alegre,Rio Grande Do Sul,Sul,26,Feminino,1,9
108,2023-01-14,19:30,2023,1,Saturday,Livros,87.9,5,39.56,479.06,Cartão de Crédito,6447,Fortaleza,Ceará,Nordeste,35,Feminino,1,9
102,2023-01-14,23:21,2023,1,Saturday,Papelaria E Escritório,45.9,5,13.77,243.27,Cartão de Crédito,3897,Brasília,Distrito Federal,Centro-Oeste,40,Masculino,1,7
101,2023-01-14,21:49,2023,1,Saturday,Beleza E Cuidados Pessoais,242.9,4,9.72,981.32,PIX,4420,Belo Horizonte,Minas Gerais,Sudeste,39,Masculino,1,7
105,2023-01-14,22:58,2023,1,Saturday,Beleza E Cuidados Pessoais,235.9,3,42.46,750.1600000000001,Cartão de Débito,5964,Porto Alegre,Rio Grande Do Sul,Sul,19,Feminino,0,9
111,2023-01-14,18:38,2023,1,Saturday,Alimentos E Bebidas,34.9,2,2.79,72.59,Cartão de Crédito,5602,Contagem,Minas Gerais,Sudeste,23,Masculino,0,10
109,2023-01-14,18:46,2023,1,Saturday,Beleza E Cuidados Pessoais,53.9,2,5.39,113.19,Cartão de Débito,4421,Petrolina,Pernambuco,Nordeste,28,Masculino,1,9
103,2023-01-14,21:56,2023,1,Saturday,Livros,108.9,4,17.42,453.02000000000004,Cartão de Crédito,6010,Porto Alegre,Rio Grande Do Sul,Sul,35,Masculino,1,10
110,2023-01-14,22:04,2023,1,Saturday,Eletrônicos,6853.9,4,822.47,28238.07,Cartão de Débito,5354,Rio De Janeiro,Rio De Janeiro,Sudeste,28,Feminino,1,9
104,2023-01-14,15:35,2023,1,Saturday,Alimentos E Bebidas,99.9,3,11.99,311.69000000000005,Cartão de Crédito,5465,Porto Alegre,Rio Grande Do Sul,Sul,26,Feminino,0,10
100,2023-01-14,17:59,2023,1,Saturday,Eletrodomésticos,2251.9,1,112.6,2364.5,PIX,3289,Joinville,Santa Catarina,Sul,39,Masculino,1,9
120,2023-01-15,00:53,2023,1,Sunday,Eletrodomésticos,1684.9,3,252.74,5307.4400000000005,Cartão de Crédito,8299,Porto Alegre,Rio Grande Do Sul,Sul,42,Masculino,0,9
114,2023-01-15,23:44,2023,1,Sunday,Eletrônicos,7316.9,4,878.03,30145.629999999997,PIX,3823,Belo Horizonte,Minas Gerais,Sudeste,45,Masculino,0,10
116,2023-01-15,21:03,2023,1,Sunday,Alimentos E Bebidas,7.9,4,0.0,31.6,Cartão de Crédito,7459,Campinas,São Paulo,Sudeste,33,Masculino,0,10
118,2023-01-15,14:22,2023,1,Sunday,Papelaria E Escritório,18.9,3,2.27,58.97,Cartão de Crédito,3890,Belo Horizonte,Minas Gerais,Sudeste,26,Feminino,1,10
119,2023-01-15,22:49,2023,1,Sunday,Papelaria E Escritório,2.9,4,0.0,11.6,PIX,7813,Santo André,São Paulo,Sudeste,50,Masculino,0,7
121,2023-01-15,16:59,2023,1,Sunday,Eletrônicos,6422.9,2,0.0,12845.8,Cartão de Crédito,7813,Santo André,São Paulo,Sudeste,50,Masculino,0,9
117,2023-01-15,21:39,2023,1,Sunday,Casa E Limpeza,117.9,5,0.0,589.5,Cartão de Crédito,2995,Carapicuíba,São Paulo,Sudeste,54,Feminino,0,9
113,2023-01-15,21:46,2023,1,Sunday,Casa E Limpeza,40.9,4,0.0,163.6,Cartão de Crédito,1338,São Paulo,São Paulo,Sudeste,31,Masculino,0,6
115,2023-01-15,15:03,2023,1,Sunday,Beleza E Cuidados Pessoais,63.9,5,28.76,348.26,PIX,9165,João Pessoa,Paraíba,Nordeste,36,Feminino,1,9
112,2023-01-15,17:28,2023,1,Sunday,Beleza E Cuidados Pessoais,138.9,5,34.72,729.22,PIX,9768,João Pessoa,Paraíba,Nordeste,41,Feminino,0,10
131,2023-01-17,16:40,2023,1,Tuesday,Casa E Limpeza,84.9,5,38.2,462.7,Boleto,5222,Fortaleza,Ceará,Nordeste,56,Feminino,0,10
127,2023-01-17,23:55,2023,1,Tuesday,Alimentos E Bebidas,65.9,1,1.98,67.88000000000001,Cartão de Crédito,5247,Rio De Janeiro,Rio De Janeiro,Sudeste,47,Masculino,0,10
126,2023-01-17,23:25,2023,1,Tuesday,Ferramentas E Construção,126.9,1,8.88,135.78,Cartão de Crédito,9629,Campo Grande,Mato Grosso Do Sul,Centro-Oeste,26,Masculino,0,8
128,2023-01-17,23:29,2023,1,Tuesday,Alimentos E Bebidas,60.9,4,9.74,253.34,Cartão de Crédito,4982,Rio De Janeiro,Rio De Janeiro,Sudeste,33,Masculino,1,8
125,2023-01-17,15:15,2023,1,Tuesday,Papelaria E Escritório,7.9,4,2.84,34.44,Cartão de Crédito,3158,Salvador,Bahia,Nordeste,39,Feminino,1,9
122,2023-01-17,21:33,2023,1,Tuesday,Casa E Limpeza,98.9,4,35.6,431.20000000000005,Cartão de Crédito,6344,Manaus,Amazonas,Norte,25,Masculino,1,10
129,2023-01-17,23:59,2023,1,Tuesday,Alimentos E Bebidas,61.0,3,16.47,199.47,PIX,5980,Porto Velho,Rondônia,Norte,37,Feminino,1,8
124,2023-01-17,20:35,2023,1,Tuesday,Beleza E Cuidados Pessoais,204.9,1,0.0,204.9,Cartão de Crédito,5981,Guarulhos,São Paulo,Sudeste,29,Masculino,1,7
123,2023-01-17,00:04,2023,1,Tuesday,Casa E Limpeza,66.9,3,8.03,208.73000000000002,Cartão de Crédito,4111,Belo Horizonte,Minas Gerais,Sudeste,41,Feminino,0,9
130,2023-01-17,22:32,2023,1,Tuesday,Eletrônicos,7581.9,2,1213.1,16376.9,PIX,9074,Brasília,Distrito Federal,Centro-Oeste,38,Masculino,0,10
133,2023-01-18,18:31,2023,1,Wednesday,Casa E Limpeza,198.9,3,0.0,596.7,PIX,8066,Campinas,São Paulo,Sudeste,40,Feminino,1,10
140,2023-01-18,22:09,2023,1,Wednesday,Beleza E Cuidados Pessoais,20.9,1,1.25,22.15,Cartão de Débito,6447,Anápolis,Goiás,Centro-Oeste,35,Feminino,1,9
137,2023-01-18,22:53,2023,1,Wednesday,Papelaria E Escritório,35.9,2,3.59,75.39,PIX,9665,Recife,Pernambuco,Nordeste,50,Masculino,0,10
132,2023-01-18,15:54,2023,1,Wednesday,Eletrônicos,7708.9,1,385.44,8094.339999999999,Cartão de Crédito,8585,Natal,Rio Grande Do Norte,Nordeste,36,Masculino,1,9
134,2023-01-18,23:54,2023,1,Wednesday,Beleza E Cuidados Pessoais,199.9,4,31.98,831.58,Cartão de Crédito,6377,Porto Alegre,Rio Grande Do Sul,Sul,43,Masculino,0,9
139,2023-01-18,00:40,2023,1,Wednesday,Casa E Limpeza,174.9,4,34.98,734.58,Cartão de Débito,6875,Niterói,Rio De Janeiro,Sudeste,29,Feminino,0,10
135,2023-01-18,18:30,2023,1,Wednesday,Alimentos E Bebidas,23.9,4,3.82,99.41999999999999,PIX,1552,Contagem,Minas Gerais,Sudeste,39,Masculino,1,9
136,2023-01-18,17:36,2023,1,Wednesday,Papelaria E Escritório,36.9,5,1.84,186.34,PIX,8989,Belo Horizonte,Minas Gerais,Sudeste,38,Masculino,1,8
138,2023-01-18,17:37,2023,1,Wednesday,Alimentos E Bebidas,73.9,2,0.0,147.8,PIX,1809,São Paulo,São Paulo,Sudeste,39,Masculino,1,10
143,2023-01-19,18:39,2023,1,Thursday,Papelaria E Escritório,43.9,2,7.02,94.82,PIX,3129,Salvador,Bahia,Nordeste,48,Masculino,0,9
147,2023-01-19,17:23,2023,1,Thursday,Alimentos E Bebidas,61.9,5,12.38,321.88,Boleto,6228,Porto Alegre,Rio Grande Do Sul,Sul,57,Masculino,0,8
144,2023-01-19,17:36,2023,1,Thursday,Eletrodomésticos,340.9,4,136.36,1499.96,PIX,5142,Salvador,Bahia,Nordeste,44,Masculino,0,9
145,2023-01-19,22:37,2023,1,Thursday,Casa E Limpeza,187.9,4,30.06,781.66,PIX,4230,Belo Horizonte,Minas Gerais,Sudeste,33,Masculino,0,9
149,2023-01-19,23:02,2023,1,Thursday,Eletrônicos,7640.9,2,1069.73,16351.529999999999,PIX,8456,Curitiba,Paraná,Sul,32,Feminino,0,9
141,2023-01-19,22:02,2023,1,Thursday,Alimentos E Bebidas,24.9,1,1.49,26.389999999999997,Cartão de Débito,2307,Recife,Pernambuco,Nordeste,26,Masculino,1,9
142,2023-01-19,18:47,2023,1,Thursday,Alimentos E Bebidas,52.9,5,26.45,290.95,Cartão de Débito,2943,Salvador,Bahia,Nordeste,21,Feminino,1,8
146,2023-01-19,22:29,2023,1,Thursday,Eletrônicos,7581.9,1,75.82,7657.719999999999,Cartão de Crédito,8682,Contagem,Minas Gerais,Sudeste,35,Feminino,0,8
148,2023-01-19,18:02,2023,1,Thursday,Beleza E Cuidados Pessoais,239.9,4,0.0,959.6,PIX,1567,São Paulo,São Paulo,Sudeste,38,Feminino,0,10
157,2023-01-20,23:27,2023,1,Friday,Alimentos E Bebidas,26.0,1,1.82,27.82,Cartão de Débito,4158,Brasília,Distrito Federal,Centro-Oeste,27,Feminino,0,9
156,2023-01-20,20:58,2023,1,Friday,Beleza E Cuidados Pessoais,62.9,4,25.16,276.76,Boleto,8280,Natal,Rio Grande Do Norte,Nordeste,30,Masculino,1,10
